Bin	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity	Tool
118	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
119	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
12	k__Bacteria (UID203)	5449	104	58	65	23	9	7	0	0	59.48	32.76	13.33	BinSanity
120	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
121	g__Pseudomonas (UID4550)	78	1044	368	515	410	98	19	0	2	45.16	11.55	7.78	BinSanity
122	k__Bacteria (UID1452)	924	163	110	76	62	19	5	1	0	50.36	20.97	0	BinSanity
123	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
124	c__Deltaproteobacteria (UID3216)	83	247	155	0	242	5	0	0	0	100	2.26	0	BinSanity
125	k__Bacteria (UID203)	5449	104	58	93	11	0	0	0	0	7.37	0	0	BinSanity
126	k__Bacteria (UID203)	5449	104	58	100	4	0	0	0	0	1.33	0	0	BinSanity
127	k__Bacteria (UID203)	5449	104	58	1	74	29	0	0	0	98.28	8.46	0	BinSanity
128	k__Bacteria (UID203)	5449	103	57	6	24	43	16	5	9	95.85	148.2	7.96	BinSanity
129	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
13	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
130	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
131	k__Bacteria (UID203)	5449	103	57	13	30	56	4	0	0	81.42	65.87	54.41	BinSanity
132	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
133	k__Bacteria (UID203)	5449	104	58	102	2	0	0	0	0	3.45	0	0	BinSanity
134	k__Bacteria (UID203)	5449	100	55	85	15	0	0	0	0	22.73	0	0	BinSanity
135	k__Bacteria (UID1453)	901	171	117	60	100	10	1	0	0	56.87	6.37	84.62	BinSanity
136	c__Gammaproteobacteria (UID4201)	1164	275	174	2	271	2	0	0	0	99.14	0.38	50	BinSanity
137	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
138	k__Bacteria (UID2570)	433	270	179	107	157	6	0	0	0	66.69	2.23	0	BinSanity
14	f__Flavobacteriaceae (UID2817)	81	511	283	29	467	15	0	0	0	98.37	3.69	53.33	BinSanity
15	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
16	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
17	k__Bacteria (UID203)	5449	104	58	3	6	25	14	29	27	96.39	285.75	0.32	BinSanity
18	k__Bacteria (UID203)	5449	104	58	91	12	1	0	0	0	17.55	1.72	0	BinSanity
19	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
2	k__Bacteria (UID203)	5449	104	58	61	43	0	0	0	0	63.79	0	0	BinSanity
20	k__Bacteria (UID2570)	433	270	179	0	263	7	0	0	0	100	3.07	0	BinSanity
21	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
22	k__Archaea (UID2)	207	149	107	147	1	1	0	0	0	1.25	0.93	100	BinSanity
23	k__Bacteria (UID203)	5449	103	57	7	10	84	2	0	0	87.72	78.04	0	BinSanity
24	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
25	k__Bacteria (UID1453)	901	171	117	149	22	0	0	0	0	4.51	0	0	BinSanity
26	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
27	k__Bacteria (UID203)	5449	104	58	88	16	0	0	0	0	17.16	0	0	BinSanity
28	k__Archaea (UID2)	207	149	107	102	47	0	0	0	0	22.83	0	0	BinSanity
29	f__Moraxellaceae (UID4680)	86	689	365	111	307	229	36	4	2	87.4	53.5	47.24	BinSanity
3	c__Clostridia (UID1085)	35	420	196	37	114	241	25	2	1	98.67	78.73	52.37	BinSanity
30	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
31	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
32	k__Archaea (UID2)	207	149	107	136	13	0	0	0	0	1.17	0	0	BinSanity
33	k__Archaea (UID2)	207	145	103	144	1	0	0	0	0	0.32	0	0	BinSanity
34	p__Firmicutes (UID1022)	100	295	158	7	264	24	0	0	0	96.2	9.65	0	BinSanity
35	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
36	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
37	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
38	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
39	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
4	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
40	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
41	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
42	f__Moraxellaceae (UID4680)	86	689	365	29	651	9	0	0	0	96.97	1.85	66.67	BinSanity
43	p__Bacteroidetes (UID2605)	350	316	210	256	56	4	0	0	0	15.08	1.67	25	BinSanity
44	f__Flavobacteriaceae (UID2817)	81	511	283	306	184	21	0	0	0	37.7	2.6	42.86	BinSanity
45	k__Archaea (UID2)	207	149	107	148	1	0	0	0	0	0.93	0	0	BinSanity
46	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
47	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
48	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
49	c__Deltaproteobacteria (UID3216)	83	247	155	86	108	45	7	1	0	67.05	30.68	2.78	BinSanity
5	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
50	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
51	c__Clostridia (UID1085)	35	420	196	38	347	32	3	0	0	91.72	8.21	58.54	BinSanity
52	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
53	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
54	k__Bacteria (UID2565)	2921	152	93	100	42	8	2	0	0	37.55	7.12	0	BinSanity
55	k__Bacteria (UID203)	5449	103	57	11	30	32	19	7	4	85.81	128.1	8.84	BinSanity
56	k__Bacteria (UID203)	5449	104	58	1	35	63	5	0	0	98.28	62.64	6.41	BinSanity
57	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
58	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
59	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
6	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
60	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
61	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
62	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
63	root (UID1)	5656	56	24	52	3	1	0	0	0	16.67	4.17	100	BinSanity
64	k__Bacteria (UID203)	5449	104	58	70	31	3	0	0	0	47.88	5.17	33.33	BinSanity
65	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
66	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
67	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
68	k__Bacteria (UID203)	5449	104	58	4	3	13	11	13	60	93.1	305.06	1.31	BinSanity
69	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
7	k__Bacteria (UID203)	5449	104	58	95	9	0	0	0	0	1.41	0	0	BinSanity
70	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
71	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
72	k__Bacteria (UID203)	5449	104	58	73	30	1	0	0	0	43.1	1.72	0	BinSanity
73	k__Bacteria (UID203)	5449	102	56	16	85	1	0	0	0	76.79	1.79	100	BinSanity
74	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
75	k__Bacteria (UID203)	5449	103	57	2	36	54	11	0	0	97.37	71.5	14.94	BinSanity
76	k__Bacteria (UID203)	5449	100	55	99	1	0	0	0	0	0.17	0	0	BinSanity
77	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
78	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
79	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
8	f__Moraxellaceae (UID4680)	86	689	365	83	208	248	119	24	7	92.32	92.21	26.09	BinSanity
80	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
81	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
82	k__Bacteria (UID203)	5449	103	57	13	12	21	25	17	15	94.74	210.36	0.53	BinSanity
83	k__Bacteria (UID203)	5449	104	58	61	43	0	0	0	0	59.25	0	0	BinSanity
84	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
85	c__Clostridia (UID1085)	35	420	196	263	120	34	0	1	2	37.4	12.73	0	BinSanity
86	k__Bacteria (UID203)	5449	103	57	93	10	0	0	0	0	7.81	0	0	BinSanity
87	k__Bacteria (UID203)	5449	104	58	66	38	0	0	0	0	52.66	0	0	BinSanity
88	p__Bacteroidetes (UID2591)	364	303	203	100	202	1	0	0	0	73.56	0.12	0	BinSanity
89	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
9	k__Archaea (UID2)	207	149	107	145	4	0	0	0	0	1.79	0	0	BinSanity
90	k__Bacteria (UID203)	5449	104	58	90	14	0	0	0	0	21.03	0	0	BinSanity
91	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
92	k__Bacteria (UID1452)	924	151	101	45	105	1	0	0	0	61.85	0.99	100	BinSanity
93	k__Bacteria (UID2569)	434	278	186	4	268	6	0	0	0	97.85	2.42	0	BinSanity
94	k__Bacteria (UID203)	5449	103	57	0	46	48	8	1	0	100	88.61	10.26	BinSanity
95	k__Archaea (UID2)	207	149	107	137	12	0	0	0	0	9.19	0	0	BinSanity
96	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
97	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
98	k__Bacteria (UID203)	5449	104	58	84	15	5	0	0	0	28.28	6.9	0	BinSanity
99	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
Metabat2_firsttrial_.1	k__Bacteria (UID203)	5449	103	57	92	11	0	0	0	0	19.3	0	0	Metabat2.1500
Metabat2_firsttrial_.10	k__Bacteria (UID2495)	2993	143	89	26	117	0	0	0	0	76.54	0	0	Metabat2.1500
Metabat2_firsttrial_.100	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.1500
Metabat2_firsttrial_.101	k__Bacteria (UID2570)	433	273	183	97	176	0	0	0	0	63.96	0	0	Metabat2.1500
Metabat2_firsttrial_.102	k__Bacteria (UID203)	5449	103	57	101	2	0	0	0	0	3.51	0	0	Metabat2.1500
Metabat2_firsttrial_.103	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0	0	Metabat2.1500
Metabat2_firsttrial_.104	k__Bacteria (UID203)	5449	104	58	90	13	1	0	0	0	18.97	1.72	100	Metabat2.1500
Metabat2_firsttrial_.105	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0	0	Metabat2.1500
Metabat2_firsttrial_.106	k__Bacteria (UID203)	5449	103	57	101	2	0	0	0	0	3.51	0	0	Metabat2.1500
Metabat2_firsttrial_.107	k__Bacteria (UID203)	5449	104	58	99	5	0	0	0	0	8.62	0	0	Metabat2.1500
Metabat2_firsttrial_.108	k__Bacteria (UID203)	5449	104	58	85	19	0	0	0	0	25.86	0	0	Metabat2.1500
Metabat2_firsttrial_.109	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.1500
Metabat2_firsttrial_.11	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.1500
Metabat2_firsttrial_.110	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.1500
Metabat2_firsttrial_.111	p__Bacteroidetes (UID2605)	350	316	210	266	50	0	0	0	0	12.14	0	0	Metabat2.1500
Metabat2_firsttrial_.112	k__Bacteria (UID203)	5449	104	58	79	25	0	0	0	0	27.82	0	0	Metabat2.1500
Metabat2_firsttrial_.113	k__Bacteria (UID203)	5449	104	58	99	5	0	0	0	0	8.62	0	0	Metabat2.1500
Metabat2_firsttrial_.114	k__Bacteria (UID203)	5449	104	58	56	46	2	0	0	0	52.87	2.59	100	Metabat2.1500
Metabat2_firsttrial_.115	k__Bacteria (UID203)	5449	103	57	64	28	10	1	0	0	59.12	21.05	84.62	Metabat2.1500
Metabat2_firsttrial_.116	k__Bacteria (UID3187)	2258	181	110	144	37	0	0	0	0	15.76	0	0	Metabat2.1500
Metabat2_firsttrial_.117	k__Bacteria (UID203)	5449	104	58	97	7	0	0	0	0	12.07	0	0	Metabat2.1500
Metabat2_firsttrial_.118	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0	0	Metabat2.1500
Metabat2_firsttrial_.119	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.1500
Metabat2_firsttrial_.12	k__Bacteria (UID2570)	433	273	183	7	265	1	0	0	0	96.89	0.55	0	Metabat2.1500
Metabat2_firsttrial_.120	c__Deltaproteobacteria (UID3216)	83	247	155	195	52	0	0	0	0	11.51	0	0	Metabat2.1500
Metabat2_firsttrial_.121	k__Bacteria (UID203)	5449	104	58	90	14	0	0	0	0	20.69	0	0	Metabat2.1500
Metabat2_firsttrial_.13	k__Bacteria (UID203)	5449	103	57	84	19	0	0	0	0	26.32	0	0	Metabat2.1500
Metabat2_firsttrial_.14	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.1500
Metabat2_firsttrial_.15	k__Bacteria (UID203)	5449	103	57	92	11	0	0	0	0	17.54	0	0	Metabat2.1500
Metabat2_firsttrial_.16	k__Archaea (UID2)	207	145	103	67	70	8	0	0	0	60.84	4.21	62.5	Metabat2.1500
Metabat2_firsttrial_.17	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.1500
Metabat2_firsttrial_.18	k__Bacteria (UID203)	5449	104	58	60	44	0	0	0	0	47.34	0	0	Metabat2.1500
Metabat2_firsttrial_.19	k__Bacteria (UID203)	5449	104	58	102	2	0	0	0	0	3.45	0	0	Metabat2.1500
Metabat2_firsttrial_.2	k__Bacteria (UID203)	5449	104	58	98	6	0	0	0	0	10.34	0	0	Metabat2.1500
Metabat2_firsttrial_.20	c__Deltaproteobacteria (UID3216)	83	247	155	182	65	0	0	0	0	20.98	0	0	Metabat2.1500
Metabat2_firsttrial_.21	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0	0	Metabat2.1500
Metabat2_firsttrial_.22	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.1500
Metabat2_firsttrial_.23	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.1500
Metabat2_firsttrial_.24	k__Bacteria (UID203)	5449	103	57	77	25	1	0	0	0	43.86	1.75	0	Metabat2.1500
Metabat2_firsttrial_.25	k__Archaea (UID2)	207	145	103	79	66	0	0	0	0	38.83	0	0	Metabat2.1500
Metabat2_firsttrial_.26	c__Deltaproteobacteria (UID3216)	83	247	155	127	120	0	0	0	0	43.35	0	0	Metabat2.1500
Metabat2_firsttrial_.27	k__Bacteria (UID203)	5449	104	58	73	28	3	0	0	0	39.06	1.88	100	Metabat2.1500
Metabat2_firsttrial_.28	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0	0	Metabat2.1500
Metabat2_firsttrial_.29	k__Bacteria (UID203)	5449	103	57	68	34	1	0	0	0	47.82	0.88	0	Metabat2.1500
Metabat2_firsttrial_.3	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.1500
Metabat2_firsttrial_.30	k__Bacteria (UID203)	5449	104	58	95	9	0	0	0	0	13.79	0	0	Metabat2.1500
Metabat2_firsttrial_.31	root (UID1)	5656	56	24	53	2	1	0	0	0	12.5	4.17	0	Metabat2.1500
Metabat2_firsttrial_.32	k__Bacteria (UID1452)	924	161	108	92	69	0	0	0	0	34.46	0	0	Metabat2.1500
Metabat2_firsttrial_.33	k__Bacteria (UID203)	5449	104	58	65	38	1	0	0	0	52.04	1.72	0	Metabat2.1500
Metabat2_firsttrial_.34	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.1500
Metabat2_firsttrial_.35	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.1500
Metabat2_firsttrial_.36	root (UID1)	5656	56	24	53	3	0	0	0	0	6.25	0	0	Metabat2.1500
Metabat2_firsttrial_.37	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.1500
Metabat2_firsttrial_.38	k__Bacteria (UID1452)	924	151	101	35	110	6	0	0	0	70.3	5.94	33.33	Metabat2.1500
Metabat2_firsttrial_.39	k__Bacteria (UID203)	5449	100	55	78	22	0	0	0	0	30.3	0	0	Metabat2.1500
Metabat2_firsttrial_.4	k__Bacteria (UID203)	5449	104	58	101	3	0	0	0	0	5.17	0	0	Metabat2.1500
Metabat2_firsttrial_.40	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.1500
Metabat2_firsttrial_.41	k__Bacteria (UID203)	5449	104	58	66	37	1	0	0	0	48.2	1.72	0	Metabat2.1500
Metabat2_firsttrial_.42	k__Bacteria (UID203)	5449	104	58	77	25	2	0	0	0	35.96	3.45	100	Metabat2.1500
Metabat2_firsttrial_.43	k__Bacteria (UID203)	5449	104	58	101	3	0	0	0	0	1.18	0	0	Metabat2.1500
Metabat2_firsttrial_.44	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.1500
Metabat2_firsttrial_.45	root (UID1)	5656	56	24	54	2	0	0	0	0	8.33	0	0	Metabat2.1500
Metabat2_firsttrial_.46	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.1500
Metabat2_firsttrial_.47	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.1500
Metabat2_firsttrial_.48	k__Bacteria (UID203)	5449	104	58	92	11	1	0	0	0	16.69	1.72	0	Metabat2.1500
Metabat2_firsttrial_.49	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.1500
Metabat2_firsttrial_.5	k__Bacteria (UID203)	5449	104	58	92	12	0	0	0	0	17.24	0	0	Metabat2.1500
Metabat2_firsttrial_.50	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.1500
Metabat2_firsttrial_.51	k__Bacteria (UID203)	5449	102	56	73	29	0	0	0	0	32.14	0	0	Metabat2.1500
Metabat2_firsttrial_.52	k__Bacteria (UID203)	5449	104	58	58	33	12	1	0	0	65.86	21.55	53.33	Metabat2.1500
Metabat2_firsttrial_.53	k__Bacteria (UID203)	5449	104	58	96	8	0	0	0	0	11.21	0	0	Metabat2.1500
Metabat2_firsttrial_.54	k__Bacteria (UID203)	5449	104	58	96	8	0	0	0	0	13.79	0	0	Metabat2.1500
Metabat2_firsttrial_.55	k__Bacteria (UID203)	5449	102	56	92	10	0	0	0	0	10	0	0	Metabat2.1500
Metabat2_firsttrial_.56	k__Bacteria (UID203)	5449	102	56	81	21	0	0	0	0	16.64	0	0	Metabat2.1500
Metabat2_firsttrial_.57	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.1500
Metabat2_firsttrial_.58	k__Bacteria (UID203)	5449	103	57	67	30	6	0	0	0	44.42	7.34	66.67	Metabat2.1500
Metabat2_firsttrial_.59	k__Bacteria (UID203)	5449	104	58	90	13	1	0	0	0	21.03	1.72	0	Metabat2.1500
Metabat2_firsttrial_.6	k__Bacteria (UID2570)	433	273	183	199	74	0	0	0	0	25.55	0	0	Metabat2.1500
Metabat2_firsttrial_.60	p__Firmicutes (UID1022)	100	295	158	41	254	0	0	0	0	85.99	0	0	Metabat2.1500
Metabat2_firsttrial_.61	k__Archaea (UID2)	207	145	103	108	37	0	0	0	0	28.64	0	0	Metabat2.1500
Metabat2_firsttrial_.62	k__Bacteria (UID1452)	924	151	101	50	101	0	0	0	0	56.84	0	0	Metabat2.1500
Metabat2_firsttrial_.63	root (UID1)	5656	56	24	53	3	0	0	0	0	12.5	0	0	Metabat2.1500
Metabat2_firsttrial_.64	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.1500
Metabat2_firsttrial_.65	c__Gammaproteobacteria (UID4201)	1164	275	174	34	240	1	0	0	0	84.2	0.29	100	Metabat2.1500
Metabat2_firsttrial_.66	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.1500
Metabat2_firsttrial_.67	k__Bacteria (UID203)	5449	104	58	88	14	2	0	0	0	22.41	2.59	50	Metabat2.1500
Metabat2_firsttrial_.68	p__Bacteroidetes (UID2605)	350	316	210	2	309	5	0	0	0	99.05	1.35	0	Metabat2.1500
Metabat2_firsttrial_.69	root (UID1)	5656	56	24	54	2	0	0	0	0	8.33	0	0	Metabat2.1500
Metabat2_firsttrial_.7	k__Bacteria (UID2495)	2993	143	89	13	130	0	0	0	0	86.52	0	0	Metabat2.1500
Metabat2_firsttrial_.70	k__Bacteria (UID203)	5449	104	58	95	9	0	0	0	0	15.52	0	0	Metabat2.1500
Metabat2_firsttrial_.71	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.1500
Metabat2_firsttrial_.72	k__Bacteria (UID203)	5449	104	58	77	27	0	0	0	0	39.66	0	0	Metabat2.1500
Metabat2_firsttrial_.73	k__Bacteria (UID2570)	433	270	179	101	166	3	0	0	0	56.7	1.12	0	Metabat2.1500
Metabat2_firsttrial_.74	p__Firmicutes (UID1022)	100	295	158	214	81	0	0	0	0	24.68	0	0	Metabat2.1500
Metabat2_firsttrial_.75	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.1500
Metabat2_firsttrial_.76	k__Bacteria (UID203)	5449	100	55	75	25	0	0	0	0	34.73	0	0	Metabat2.1500
Metabat2_firsttrial_.77	k__Bacteria (UID203)	5449	104	58	53	48	3	0	0	0	74.14	4.31	100	Metabat2.1500
Metabat2_firsttrial_.78	k__Bacteria (UID1452)	924	151	101	47	104	0	0	0	0	59.87	0	0	Metabat2.1500
Metabat2_firsttrial_.79	f__Moraxellaceae (UID4680)	86	689	365	91	592	6	0	0	0	89.48	1.37	66.67	Metabat2.1500
Metabat2_firsttrial_.8	k__Bacteria (UID203)	5449	104	58	89	15	0	0	0	0	24.14	0	0	Metabat2.1500
Metabat2_firsttrial_.80	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0	0	Metabat2.1500
Metabat2_firsttrial_.81	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0	0	Metabat2.1500
Metabat2_firsttrial_.82	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0	0	Metabat2.1500
Metabat2_firsttrial_.83	k__Bacteria (UID203)	5449	104	58	98	6	0	0	0	0	10.34	0	0	Metabat2.1500
Metabat2_firsttrial_.84	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.1500
Metabat2_firsttrial_.85	k__Bacteria (UID203)	5449	103	57	98	5	0	0	0	0	1.37	0	0	Metabat2.1500
Metabat2_firsttrial_.86	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.1500
Metabat2_firsttrial_.87	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.1500
Metabat2_firsttrial_.88	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.1500
Metabat2_firsttrial_.89	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.1500
Metabat2_firsttrial_.9	k__Bacteria (UID203)	5449	104	58	99	5	0	0	0	0	8.62	0	0	Metabat2.1500
Metabat2_firsttrial_.90	k__Bacteria (UID203)	5449	103	57	74	29	0	0	0	0	43.86	0	0	Metabat2.1500
Metabat2_firsttrial_.91	c__Deltaproteobacteria (UID3216)	83	247	155	92	148	6	1	0	0	68.88	4.32	0	Metabat2.1500
Metabat2_firsttrial_.92	k__Bacteria (UID203)	5449	104	58	86	18	0	0	0	0	21.32	0	0	Metabat2.1500
Metabat2_firsttrial_.93	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.1500
Metabat2_firsttrial_.94	k__Bacteria (UID203)	5449	103	58	76	27	0	0	0	0	31.9	0	0	Metabat2.1500
Metabat2_firsttrial_.95	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.1500
Metabat2_firsttrial_.96	k__Bacteria (UID2570)	433	273	183	159	113	1	0	0	0	33.33	0.55	0	Metabat2.1500
Metabat2_firsttrial_.97	k__Bacteria (UID2569)	434	278	186	229	49	0	0	0	0	9.14	0	0	Metabat2.1500
Metabat2_firsttrial_.98	c__Deltaproteobacteria (UID3216)	83	247	155	189	56	2	0	0	0	8.39	1.29	0	Metabat2.1500
Metabat2_firsttrial_.99	k__Bacteria (UID2565)	2921	152	93	72	79	1	0	0	0	60.72	1.08	0	Metabat2.1500
